CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number
CYG,OC,IC 1310,Berkeley 50,20 10.0,+34 58,?,4.0,4.0,IC, 1310,IC  1310,IC  1310,,1310
CYG,BN,NGC6888,THE CRESCENT NEBULA/THE EAR NEBULA,20 12.8,+38 19,10.0p,20.0,10.0,NGC,,,,,
CYG,OC,NGC6910,THE INCHWORM CLUSTER,20 23.2,+40 47,7.4,10.0,10.0,NGC,,,,,
CYG,OC,NGC6913,M29/Cooling Tower Cluster,20 24.1,+38 30,6.6,10.0,10.0,NGC,,,,,
CYG,SNR,NGC6992/6995/6960/6979,"VEIL NEBULA/THE WITCH BROOM,BRIDALVEIL, ETC",20 56.4,+31 43,7,60.0,8.0,NGC,,,,,
CYG,PN,NGC7008,COAT BUTTON NEBULA (Fetus Nebula),21 00.5,+54 33,12,1.43,1.15,NGC,,,,,
CYG,PN,NGC7026,CHEESEBURGER NEBULA,21 06.3,+47 51,12,0.42,0.15,NGC,,,,,
CYG,PN,NGC7027,PINK PILLOW NEBULA/MAGIC CARPET NEB/green rectangle,21 07.0,+42 14,9.6,0.3,0.18,NGC,,,,,
CYG,OC,NGC7044,OCL  198          ,21 13.1,+42 29,12,7.0,7.0,NGC,,,,,
CYG,OC,NGC7063,OCL  192          ,21 24.5,+36 30,7,9.0,9.0,NGC,,,,,
CYG,OC,NGC7086,OCL  214          ,21 30.5,+51 36,8.4,12.0,12.0,NGC,,,,,
CYG,OC,NGC7092,M39,21 31.9,+48 26,4.6,31.0,31.0,NGC,,,,,
DEL,PN,NGC6891,PK54-12.1        ,20 15.1,+12 42,10.5,0.26,0.12,NGC,,,,,
DEL,PN,NGC6905,BLUE FLASH NEBULA,20 22.4,+20 06,12,0.73,0.63,NGC,,,,,
DEL,GC,NGC6934,GCL 117           ,20 34.2,+07 24,8.9,7.1,7.1,NGC,,,,,
DEL,GC,NGC7006,GCL 119           ,21 01.5,+16 11,10.6,3.6,3.6,NGC,,,,,
DRA,GAL,NGC5866,M102 FOOL'S GOLD GALAXY/THE SPINDLE,15 06.5,+55 46,9.9,5.2,2.3,NGC,,,,,
DRA,GAL,NGC5907,SPLINTER GAL./CAT SCRATCH GAL./KNIFE EDGE GAL.,15 15.9,+56 20,10.3,11.8,1.3,NGC,,,,,
DRA,GAL,NGC6015,UGC 10075         ,15 51.4,+62 18,11.1,5.4,2.1,NGC,,,,,
DRA,GAL,NGC6140,UGC 10359         ,16 21.0,+65 23,11.3,6.3,4.6,NGC,,,,,
DRA,GAL,NGC6503,LOST IN SPACE GALAXY,17 49.5,+70 09,10.2,7.0,2.5,NGC,,,,,
DRA,PN,NGC6543,CATSEYE NEBULA,17 58.6,+66 38,8.3,0.37,0.27,NGC,,,,,
