CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Types_OpenNGC,Best_500
Cvn,GAL,NGC5194,M51 The Whirlpool galaxy,13 29.9,+47 12,8.4,10.8,6.6,M,51,M 51,,M 51,51,G,True
Cvn,GAL,NGC5195,UGC 8494         ,13 30.0,+47 16,9.6,5.9,4.6,NGC,5195,NGC 5195,,,5195,G,True
Cvn,GC,NGC5272,M3,13 42.2,+28 23,6.3,18.0,18.0,M,3,M 3,,M 3,3,GCl,True
Cyg,OC,NGC6811,THE SMOKE RING CLUSTER,19 37.2,+46 23,6.8,15.0,15.0,NGC,6811,NGC 6811,,,6811,OCl,True
Cyg,OC,NGC6819,OCL  155/FOXHEAD NEB          ,19 41.3,+40 11,7.3,5.0,5.0,NGC,6819,NGC 6819,,,6819,OCl,True
Cyg,PN,NGC6826,Blinking Planetary,19 44.8,+50 32,8.8,0.45,0.4,NGC,6826,NGC 6826,,,6826,PN,True
Cyg,OC,NGC6834,OCL  134          ,19 52.2,+29 24,7.8,6.0,6.0,NGC,6834,NGC 6834,,,6834,OCl,True
Cyg,OC,NGC6866,KITE CLUSTER,20 03.9,+44 09,7.6,20.0,10.0,NGC,6866,NGC 6866,,,6866,OCl,True
Cyg,OC,IC 1310,Berkeley 50,20 10.0,+34 58,?,4.0,4.0,IC, 1310,IC  1310,IC  1310,,1310,OCl,True
Cyg,BN,NGC6888,THE CRESCENT NEBULA/THE EAR NEBULA,20 12.8,+38 19,10.0p,20.0,10.0,NGC,6888,NGC 6888,,,6888,Neb,True
Cyg,OC,NGC6910,THE INCHWORM CLUSTER,20 23.2,+40 47,7.4,10.0,10.0,NGC,6910,NGC 6910,,,6910,OCl,True
Cyg,OC,NGC6913,M29/Cooling Tower Cluster,20 24.1,+38 30,6.6,10.0,10.0,M,29,M 29,,M 29,29,OCl,True
Cyg,SNR,NGC6992/6995/6960/6979,"VEIL NEBULA/THE WITCH BROOM,BRIDALVEIL, ETC",20 56.4,+31 43,7,60.0,8.0,NGC,6992,NGC 6992,,,6992,SNR,True
Cyg,PN,NGC7008,COAT BUTTON NEBULA (Fetus Nebula),21 00.5,+54 33,12,1.43,1.15,NGC,7008,NGC 7008,,,7008,PN,True
