Name normalized,Catalog,Name,Name (no leading zero),Name (final),NGC/ID,Type,Common Name,Mag,RA,Dec,Width ('),Height ('),IC,IC name,NGC,NGC name,mike
NGC 6188,NGC,NGC 6188,NGC 6188,NGC 6188,6188,Nb,,,16:40:30,-47.22,20.0,20.0,,,6188,NGC 6188,True
M 13,Messier,M 013,M 13,M 13,6205,Gc,Great Hercules Globular,5.8,16:01:42,36.47,16.6,16.6,,,6205,NGC 6205,True
NGC 6281,NGC,NGC 6281,NGC 6281,NGC 6281,6281,C+N,,5,17:04:48,-36.1,60.0,60.0,,,6281,NGC 6281,True
NGC 6334,NGC,NGC 6334,NGC 6334,NGC 6334,6334,Nb,,,17:20:30,-34.28,40.0,40.0,,,6334,NGC 6334,True
NGC 6357,NGC,NGC 6357,NGC 6357,NGC 6357,6357,Nb,,,17:24:36,-33.83,50.0,50.0,,,6357,NGC 6357,True
NGC 6374,NGC,NGC 6383,NGC 6374,NGC 6383,6374,C+N,,5,17:34:48,-31.43,80.0,80.0,,,6374,NGC 6374,True
NGC 6397,Caldwell,C 086,C 86,C 86,6397,Gc,,5.6,17:40:42,-53.67,26.0,26.0,,,6397,NGC 6397,True
M 6,Messier,M 006,M 6,M 6,6405,Oc,Butterfly Cluster,4.2,17:00:06,-32.22,25.0,25.0,,,6405,NGC 6405,True
NGC 6416,NGC,NGC 6416,NGC 6416,NGC 6416,6416,OC,,5,17:44:24,-31.65,18.0,18.0,,,6416,NGC 6416,True
M 7,Messier,M 007,M 7,M 7,6475,Oc,Ptolemy's Cluster,3.3,17:03:54,-34.82,80.0,80.0,,,6475,NGC 6475,True
M 23,Messier,M 023,M 23,M 23,6494,Oc,,6.9,17:06:48,-19.02,27.0,27.0,,,6494,NGC 6494,True
M 20,Messier,M 020,M 20,M 20,6514,Di,Trifid Nebula,9,18:02:36,-23.03,28.0,28.0,,,6514,NGC 6514,True
M 8,Messier,M 008,M 8,M 8,6523,Di,Lagoon Nebula,6,18:03:48,-24.38,90.0,40.0,,,6523,NGC 6523,True
NGC 6526,NGC,NGC 6526,NGC 6526,NGC 6526,6526,Nb,,,18:02:36,-22.42,40.0,40.0,,,6526,NGC 6526,True
NGC 6604,NGC,NGC 6604,NGC 6604,NGC 6604,6604,C+N,,6,18:18:06,-11.77,60.0,60.0,,,6604,NGC 6604,True
M 16,NGC,NGC 6611,NGC 6611,NGC 6611 = M 16,6611,C+N,Eagle nebula,6,18:18:48,-12.22,35.0,35.0,,,6611,NGC 6611,True
M 17,NGC,NGC 6618,NGC 6618,NGC 6618 = M 17,6618,C+N,M  17,6,18:20:48,-15.82,46.0,46.0,,,6618,NGC 6618,True
NGC 6633,NGC,NGC 6633,NGC 6633,NGC 6633,6633,OC,,4,18:27:42,6.57,27.0,27.0,,,6633,NGC 6633,True
M 22,Messier,M 022,M 22,M 22,6656,Gc,Sagittarius Cluster,5.1,18:06:24,-23.9,24.0,24.0,,,6656,NGC 6656,True
NGC 6752,Caldwell,C 093,C 93,C 93,6752,Gc,,5.4,19:10:54,-59.98,20.0,20.0,,,6752,NGC 6752,True
M 55,Messier,M 055,M 55,M 55,6809,Gc,,6.3,19:00:00,-30.97,19.0,19.0,,,6809,NGC 6809,True
NGC 6820,NGC,NGC 6820,NGC 6820,NGC 6820,6820,Nb,,,19:43:06,23.28,40.0,40.0,,,6820,NGC 6820,True
NGC 6871,NGC,NGC 6871,NGC 6871,NGC 6871,6871,OC,,5,20:05:54,35.78,20.0,20.0,,,6871,NGC 6871,True
NGC 6888,Caldwell,C 027,C 27,C 27,6888,Bn,Crescent Nebula,7.5,20:12:00,38.35,20.0,10.0,,,6888,NGC 6888,True
NGC 6940,NGC,NGC 6940,NGC 6940,NGC 6940,6940,OC,,6,20:34:36,28.3,31.0,31.0,,,6940,NGC 6940,True
NGC 6960,Caldwell,C 034,C 34,C 34,6960,Sn,West Veil Nebula,-,20:45:42,30.72,70.0,6.0,,,6960,NGC 6960,True
NGC 6960,NGC,NGC 6960,NGC 6960,NGC 6960 = C 34,6960,Nb,Filamentary nebula,,20:45:42,30.72,70.0,70.0,,,6960,NGC 6960,True
NGC 6992,Caldwell,C 033,C 33,C 33,6992,Sn,East Veil Nebula,-,20:56:24,31.72,60.0,8.0,,,6992,NGC 6992,True
NGC 6992,NGC,NGC 6992,NGC 6992,NGC 6992 = C 33,6992,Nb,Network nebula,,20:56:24,31.72,60.0,60.0,,,6992,NGC 6992,True
NGC 7000,Caldwell,C 020,C 20,C 20,7000,Bn,North America Nebula,6,20:58:48,44.33,120.0,100.0,,,7000,NGC 7000,True
NGC 7023,Caldwell,C 004,C 4,C 4,7023,Bn,Iris Nebula,6.8,21:01:48,68.2,18.0,18.0,,,7023,NGC 7023,True
NGC 7039,NGC,NGC 7039,NGC 7039,NGC 7039,7039,OC,,7,21:11:12,45.65,25.0,25.0,,,7039,NGC 7039,True
NGC 7082,NGC,NGC 7082,NGC 7082,NGC 7082,7082,OC,,7,21:29:24,47.08,25.0,25.0,,,7082,NGC 7082,True
M 39,Messier,M 039,M 39,M 39,7092,Oc,,4.6,21:02:12,48.43,32.0,32.0,,,7092,NGC 7092,True
NGC 7209,NGC,NGC 7209,NGC 7209,NGC 7209,7209,OC,,6,22:05:12,46.5,25.0,25.0,,,7209,NGC 7209,True
NGC 7243,Caldwell,C 016,C 16,C 16,7243,Oc,,6.4,22:15:18,49.88,21.0,21.0,,,7243,NGC 7243,True
NGC 7380,NGC,NGC 7380,NGC 7380,NGC 7380,7380,C+N,,7,22:47:00,58.1,25.0,25.0,,,7380,NGC 7380,True
NGC 7822,NGC,NGC 7822,NGC 7822,NGC 7822,7822,Nb,,,00:03:36,68.62,60.0,60.0,,,7822,NGC 7822,True
